    1400	    8190	     441
    1500	    6519	     970
    1600	    6191	     659
    1700	    8535	    1211
    1800	    9593	    1324
    1900	    7950	     249
    2000	    8295	    1425
    2100	    6241	     331
    2200	    6145	     418
    2300	   10563	    1835
    2400	    7557	     620
    2500	   12493	    1439
    2600	   16280	    1633
    2700	    7161	      93
    2800	   15341	    1299
    2900	   15284	    1380
    3000	   14101	    1251
    3100	   15311	     974
    3200	   16193	    2337
    3300	   13903	    3185
    3400	   12557	    1728
    3500	    6768	     385
    3600	    8956	     857
    3700	   12199	    1166
    3800	   16979	    2080
    3900	   10916	    2688
    4000	   16154	    1587
    4100	   17967	    3695
    4200	   14774	     205
    4300	    9346	     277
    4400	   13363	    3421
    4500	   28166	    2135
    4600	    9054	     374
    4700	   20949	    1743
    4800	   13056	    4147
    4900	   11570	    2871
    5000	   26627	    3227
    5100	   23345	    1313
    5200	    9543	     474
    5300	   16676	    4801
    5400	   18319	     727
    5500	   14695	     556
    5600	   19547	     614
    5700	   18732	     531
    5800	   25490	    2341
    5900	   10027	     398
    6000	   23727	      50
    6100	   29592	    5935
    6200	   24749	    1191
    6300	   23796	     302
    6400	   23753	    5574
    6500	   14217	     195
    6600	   27509	    3743
    6700	   23016	    5482
    6800	   15477	    5121
    6900	   21986	    1259
    7000	   18692	    2529
    7100	   15921	     428
    7200	   22928	    6400
    7300	   20321	    1911
    7400	   30094	    4221
    7500	   30955	    5903
    7600	   40910	    2197
    7700	   26430	    6702
    7800	   40928	    3570
    7900	   38050	    3013
    8000	   40380	    4559
    8100	   34926	    1740
    8200	   45180	    1981
    8300	   28311	    7327
    8400	   23653	    4841
    8500	   48019	    6007
    8600	   38364	    1832
    8700	   31651	    7405
    8800	   46842	    5133
    8900	   31896	    3264
    9000	   43247	    4697
    9100	   28748	    6866
    9200	   51915	    2278
    9300	   19826	      48
    9400	   22377	    1274
    9500	   52753	    3605
    9600	   56414	    6739
    9700	   50439	    2304
    9800	   49764	    4797
    9900	   28864	     460
   10000	   47984	    4043
     100	     466	      95
     200	    1137	     176
     300	    1519	      47
     400	    2521	      78
     500	    2062	     449
     600	    3045	     422
     700	    2231	     147
     800	    3425	     356
     900	    2771	     752
    1000	    3445	     734
    1100	    3337	     780
    1200	    6774	     261
    1300	    6272	     317
    1400	    4403	     748
    1500	    4489	     542
    1600	    6162	      22
    1700	    6976	     760
    1800	    9156	    1297
    1900	    9551	     863
    2000	   14507	    1268
    2100	    7587	    1654
    2200	   11522	     676
    2300	   11723	     703
    2400	   10000	    1499
    2500	   10770	    1422
    2600	   11429	     484
    2700	    9935	    1430
    2800	    9600	    1451
    2900	    6722	     120
    3000	   18594	    2065
    3100	   16310	     109
    3200	    7532	    2017
    3300	    8873	    2730
    3400	    9803	    2257
    3500	   13887	    1983
    3600	   14799	     683
    3700	   18422	    1979
    3800	   22923	    2894
    3900	   12994	     391
    4000	   10910	    1870
    4100	   13273	     720
    4200	   17621	    1779
    4300	   21409	    1821
    4400	   17853	    2404
    4500	    8987	     105
    4600	   19562	    4527
    4700	   17872	    2745
    4800	   19222	    2531
    4900	   23424	    1100
    5000	   14958	    4387
    5100	   34534	    3549
    5200	   28689	     858
    5300	   17617	    2478
    5400	   28383	    3667
    5500	   22097	    3702
    5600	   37523	    1817
    5700	   19397	    5151
    5800	   18610	    1505
    5900	   45791	    3861
    6000	   29943	    3554
    6100	   21183	    4768
    6200	   16216	    5562
    6300	   17620	     816
    6400	   25287	    4540
    6500	   36031	    2736
    6600	   31343	    3381
    6700	   25567	     882
    6800	   40562	    6024
    6900	   25449	     162
    7000	   20098	    6129
    7100	   37375	    3061
    7200	   39570	    5482
    7300	   15580	     471
    7400	   25582	    6024
    7500	   47438	    1757
    7600	   32979	    2982
    7700	   24763	    2979
    7800	   16917	    5924
    7900	   24300	    1534
    8000	   23412	    1144
    8100	   31245	    4341
    8200	   32026	    5483
    8300	   16340	    1675
    8400	   26662	    2339
    8500	   31016	    8445
    8600	   35083	    5973
    8700	   29827	     372
    8800	   27224	    8799
    8900	   31343	    5778
    9000	   41193	      62
