      1200	     28880      0.007848
      1300	     33850      0.008109
      1400	     34077      0.008676
      1500	     37054      0.009291
      1600	     39812      0.010479
      1700	     42066      0.010584
      1800	     45327      0.011817
      1900	     48927      0.012001
      2000	     51707      0.013074
      2100	     52972      0.013053
      2200	     57444      0.013801
      2300	     59876      0.015037
      2400	     62654      0.015854
      2500	     64882      0.016403
      2600	     67430      0.016311
      2700	     72411      0.019293
      2800	     76080      0.018042
      2900	     78973      0.018995
      3000	     81540      0.019498
      3100	     81810      0.019854
      3200	     85655      0.021305
      3300	     88677      0.021503
      3400	     94421      0.022487
      3500	     95573      0.022765
      3600	     96833      0.023907
      3700	     99596      0.024088
      3800	    105140      0.026084
      3900	    109235      0.026786
      4000	    109340      0.026722
      4100	    117813      0.028520
      4200	    116632      0.028199
      4300	    114048      0.028105
      4400	    120848      0.032926
      4500	    122715      0.030020
      4600	    129064      0.031348
      4700	    135478      0.032633
      4800	    133792      0.032678
      4900	    133679      0.032613
      5000	    146441      0.035194
       100	      1750      0.000456
       200	      3980      0.000988
       300	      6738      0.001789
       400	      8719      0.002077
       500	     11186      0.003812
       600	     13186      0.003511
       700	     15919      0.003895
       800	     18311      0.007936
       900	     21005      0.005429
      1000	     24620      0.007358
      1100	     27425      0.006604
      1200	     29577      0.007229
      1300	     31779      0.010019
      1400	     35143      0.010507
      1500	     38292      0.009080
      1600	     40166      0.010326
      1700	     42557      0.010871
      1800	     44972      0.012355
      1900	     48336      0.012826
      2000	     53015      0.014141
      2100	     54952      0.013060
      2200	     56895      0.017816
      2300	     58766      0.015795
      2400	     61457      0.015425
      2500	     70760      0.018421
      2600	     66603      0.016426
      2700	     73282      0.018214
      2800	     74144      0.017800
      2900	     78409      0.020397
      3000	     80446      0.019349
      3100	     83611      0.020495
      3200	     90016      0.021738
      3300	     88479      0.021548
      3400	     91824      0.022244
      3500	     91878      0.022067
      3600	     99453      0.024354
      3700	    101451      0.023962
      3800	    103864      0.025352
      3900	    105636      0.028164
      4000	    108877      0.025540
      4100	    111770      0.027156
      4200	    122844      0.030029
      4300	    124211      0.029788
      4400	    129225      0.031037
      4500	    124435      0.030361
      4600	    132490      0.032218
      4700	    134439      0.032258
      4800	    129647      0.033517
      4900	    133498      0.032429
      5000	    139470      0.034686
       100	      1683      0.000445
       200	      3975      0.000994
       300	      6384      0.001651
       400	      8781      0.002102
       500	     10862      0.002691
       600	     13108      0.003673
       700	     15685      0.004697
       800	     18905      0.012921
       900	     21439      0.007774
      1000	     25375      0.013931
      1100	     27257      0.015668
      1200	     30293      0.011514
      1300	     31920      0.008614
      1400	     33448      0.014992
      1500	     37530      0.009125
      1600	     39532      0.010807
      1700	     42688      0.011033
      1800	     46555      0.012655
      1900	     48026      0.012318
      2000	     51238      0.018881
      2100	     54317      0.017594
      2200	     57525      0.014115
      2300	     60459      0.026623
      2400	     63972      0.029062
      2500	     64086      0.033927
      2600	     67186      0.041667
      2700	     73696      0.038495
      2800	     73434      0.037369
      2900	     78755      0.039493
      3000	     79988      0.039718
      3100	     82098      0.020302
      3200	     86106      0.021656
      3300	     88311      0.021322
      3400	     91492      0.022150
      3500	     95441      0.023225
      3600	    102913      0.030510
      3700	     99352      0.024376
      3800	    107499      0.026818
      3900	    106916      0.026736
      4000	    110342      0.043529
      4100	    114598      0.085778
      4200	    115851      0.056916
      4300	    121174      0.043647
      4400	    122736      0.062114
      4500	    126025      0.044747
      4600	    126136      0.031349
      4700	    136512      0.033302
      4800	    135975      0.096610
      4900	    135708      0.108360
      5000	    139696      0.038051
       100	      1704      0.000467
       200	      3944      0.000969
       300	      6276      0.001587
       400	      8727      0.002099
       500	     10665      0.003523
       600	     13217      0.003372
       700	     16213      0.005036
       800	     18165      0.006121
       900	     21455      0.007633
